ISB_Service,bus_stop_board,bus_stop_alight,day_of_the_week,time_start,travel_duration,frequency,punctuality,cleanliness,safety,coverage,crowdedness
K,KR MRT,CLB,Tuesday,08:45:00,10 - 15 minutes,Dissatisfied,Satisfied,Satisfied,Neutral,Dissatisfied,2.0
D2,PGP Terminal,KR MRT,Wednesday,17:45:45,5 - 10 minutes,Neutral,Satisfied,Very Satisfied,Satisfied,Satisfied,2.0
D2,COM3,LT27,Tuesday,14:30:00,10 - 15 minutes,Dissatisfied,Dissatisfied,Very Satisfied,Very Satisfied,Satisfied,3.0
D2,UTown,Opp KR MRT,Wednesday,11:30:00,10 - 15 minutes,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,5.0
A1,KR MRT,S17,Wednesday,18:55:00,< 5 minutes,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,4.0
A2,PGP Foyer,Ventus,Monday,11:30:00,15 - 20 minutes,Very dissatisfied,Very Satisfied,Very Satisfied,Neutral,Neutral,5.0
D2,KR MRT,LT27,Friday,07:50:00,< 5 minutes,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,5.0
K,S17,Opp KR MRT,Monday,20:15:00,< 5 minutes,Neutral,Satisfied,Very Satisfied,Satisfied,Satisfied,5.0
A2,BIZ2,KR MRT,Monday,11:30:00,15 - 20 minutes,Neutral,Neutral,Satisfied,Neutral,Satisfied,5.0
D1,UTown,BIZ2,Wednesday,20:45:45,10 - 15 minutes,Satisfied,Satisfied,Satisfied,Neutral,Satisfied,3.0
D1,S17,LT27,Wednesday,09:00:00,5 - 10 minutes,Neutral,Very dissatisfied,Satisfied,Satisfied,Satisfied,5.0
A1,KR MRT,LT27,Tuesday,09:40:00,20 - 30 minutes,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,5.0
A1,COM3,UTown,Wednesday,19:42:17,10 - 15 minutes,Satisfied,Neutral,Very Satisfied,Neutral,Dissatisfied,4.0
D2,COM3,UTown,Tuesday,10:45:45,5 - 10 minutes,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,3.0
D2,S17,UTown,Monday,19:50:00,10 - 15 minutes,Neutral,Neutral,Neutral,Very dissatisfied,Neutral,5.0
D2,CLB,Ventus,Wednesday,19:42:17,5 - 10 minutes,Neutral,Satisfied,Satisfied,Satisfied,Neutral,4.0
D2,Museum,Opp KR MRT,Monday,16:05:00,5 - 10 minutes,Dissatisfied,Neutral,Satisfied,Neutral,Satisfied,5.0
A1,BIZ2,KR MRT,Thursday,20:30:00,5 - 10 minutes,Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,4.0
A2,S17,LT27,Wednesday,13:00:00,5 - 10 minutes,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,3.0
D2,KR MRT,UTown,Thursday,08:45:45,10 - 15 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,3.0
D1,UTown,CLB,Monday,13:00:00,5 - 10 minutes,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,3.0
D2,S17,Opp KR MRT,Wednesday,18:00:00,5 - 10 minutes,Neutral,Neutral,Neutral,Neutral,Neutral,5.0
D2,UTown,Opp KR MRT,Wednesday,18:30:00,10 - 15 minutes,Dissatisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,4.0
